item_id,timestamp,mean,0.1,0.5,0.9,Target,Interval Width
P01,2025-01-01,1.0994499004025773,1.0305766254162416,1.0994499004025773,1.1685857385057612,SC11,0.13800911308951958
P02,2025-01-01,0.8963259414471303,0.6699600402768809,0.8963259414471303,1.1229850029404336,SC11,0.45302496266355263
P03,2025-01-01,0.914754453167824,0.6984936726369051,0.914754453167824,1.131271329245972,SC11,0.43277765660906686
P04,2025-01-01,1.0097538724456694,0.7532943668000632,1.0097538724456694,1.2665234116510748,SC11,0.5132290448510116
P05,2025-01-01,1.0872662862158968,0.953165994340432,1.0872662862158968,1.2216003540274285,SC11,0.26843435968699647
P06,2025-01-01,1.058517486514988,0.723820851473966,1.058517486514988,1.3935108227674924,SC11,0.6696899712935264
P07,2025-01-01,0.968400501997724,0.6971950802101928,0.968400501997724,1.239903802188472,SC11,0.5427087219782792
P08,2025-01-01,0.7794976056266892,0.7038356749416909,0.7794976056266892,0.8554152672461288,SC11,0.15157959230443796
P09,2025-01-01,0.936109034561082,0.7312383063373242,0.936109034561082,1.1412236184251316,SC11,0.4099853120878074
P10,2025-01-01,0.9531133883662836,0.7236103047955257,0.9531133883662836,1.1828887780850044,SC11,0.4592784732894787
P11,2025-01-01,1.1099415676266458,0.8559715186582031,1.1099415676266458,1.3642112980388093,SC11,0.5082397793806062
P12,2025-01-01,1.0385362027522824,0.8321014050485224,1.0385362027522824,1.2453251023374274,SC11,0.41322369728890507
P13,2025-01-01,1.0064905636790975,0.8028317419760597,1.0064905636790975,1.2103891068815191,SC11,0.40755736490545946
P14,2025-01-01,0.9733969181321585,0.8902705819923915,0.9733969181321585,1.0568634161170132,SC11,0.16659283412462167
P15,2025-01-01,0.9727635822341631,0.8518498785038042,0.9727635822341631,1.094020546319816,SC11,0.24217066781601182
P16,2025-01-01,0.8863598994209565,0.8158394791694809,0.8863598994209565,0.9571903523009088,SC11,0.1413508731314279
P17,2025-01-01,0.9622065159112788,0.8329561875297706,0.9622065159112788,1.0916938547121555,SC11,0.2587376671823849
P18,2025-01-01,1.0092003717335518,0.76261778825722,1.0092003717335518,1.2561873820379106,SC11,0.49356959378069054
P19,2025-01-01,1.0813674027474969,0.8181103609552391,1.0813674027474969,1.344984987448065,SC11,0.5268746264928259
P20,2025-01-01,0.9918526702258974,0.7485167031978026,0.9918526702258974,1.2354783712412936,SC11,0.48696166804349095
P21,2025-01-01,0.9025906569197056,0.799299796035963,0.9025906569197056,1.0061854446811258,SC11,0.2068856486451628
P22,2025-01-01,1.1502374844130066,1.008296527120065,1.1502374844130066,1.292512521083301,SC11,0.28421599396323605
P23,2025-01-01,1.0866678018166511,0.882650846088759,1.0866678018166511,1.2909446868811514,SC11,0.4082938407923924
P24,2025-01-01,1.0111337737031074,0.7827433663533415,1.0111337737031074,1.239818027295003,SC11,0.4570746609416615
P25,2025-01-01,0.9523902659904472,0.8488415479360168,0.9523902659904472,1.056236710176853,SC11,0.2073951622408362
P26,2025-01-01,0.95679230443465,0.8943240337045036,0.95679230443465,1.019556533646525,SC11,0.12523249994202146
P27,2025-01-01,0.9598453693174048,0.8077774185165993,0.9598453693174048,1.1121902069762566,SC11,0.30441278845965725
P28,2025-01-01,1.288776875077993,0.9371740117350066,1.288776875077993,1.6407424755252766,SC11,0.70356846379027
P29,2025-01-01,1.221872312186218,0.9249742584099828,1.221872312186218,1.5190616594494064,SC11,0.5940874010394236
P30,2025-01-01,1.10774801313588,0.8863500922763661,1.10774801313588,1.3294446100763957,SC11,0.4430945178000296
P31,2025-01-01,0.942786986324627,0.8747537781564498,0.942786986324627,1.0110464034329525,SC11,0.13629262527650265
P32,2025-01-01,1.029564614999127,0.8296357525122325,1.029564614999127,1.2297889796196892,SC11,0.4001532271074567
P33,2025-01-01,0.9359787903222176,0.5926719075592093,0.9359787903222176,1.2795941760163738,SC11,0.6869222684571645
P34,2025-01-01,0.8504603528673456,0.6427352315811165,0.8504603528673456,1.0585001033246184,SC11,0.41576487174350196
P35,2025-01-01,0.9798099856509176,0.7743582562332223,0.9798099856509176,1.1854851998902305,SC11,0.4111269436570082
